C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
618 	HD 209698                          	HighPM*         	331.3527962005400 -07.5998109895400	331.3528020760827 -07.5998061210924	330.6777395745920 +03.8810555687461	     ~   	10.32    	9.47     	     ~   	     ~   	K0V            	   5	   0
619 	HD 209183                          	HighPM*         	330.4052040134100 -08.8807711827100	330.4052098185381 -08.8807662547427	329.3502665610262 +03.0066905126538	     ~   	10.40    	9.56     	     ~   	     ~   	K0V            	   5	   0
620 	LP 759-78                          	**              	329.206675900 -09.541046200        	329.206681680 -09.541041199        	328.010495669 +02.794037673        	     ~   	12.57    	11.875   	11.484   	     ~   	K4V            	   3	   0
621 	LP 760-27                          	HighPM*         	337.8291495528200 -09.4263200297100	337.8291552224273 -09.4263156028139	336.0020938410983 -00.1250348365232	     ~   	12.37    	11.137   	10.850   	     ~   	K5V            	   7	   0
622 	LP 701-76                          	HighPM*         	340.8559334412400 -08.0794728298000	340.8559391787258 -08.0794686290118	339.2799108579345 +00.0117537870553	     ~   	13.28    	11.85    	11.52    	     ~   	K6V            	   8	   0
623 	HD 216493                          	HighPM*         	343.3547370924400 -09.0927902537700	343.3547427218137 -09.0927862485090	341.1835012274345 -01.8614990950138	     ~   	10.63    	9.74     	9.65     	     ~   	K4V            	  21	   0
624 	HD 220079                          	HighPM*         	350.2563812000699 -08.5016043065600	350.2563868107578 -08.5016008797265	347.7086684590266 -03.9598778950905	     ~   	10.64    	9.78     	     ~   	     ~   	K1V            	   4	   0
625 	BD-10 6092                         	HighPM*         	349.61489200 -09.27042100          	349.61489755 -09.27041752          	346.82150890 -04.41804137          	     ~   	12.117   	11.033   	10.756   	     ~   	K5V            	   8	   0
626 	HD 220339                          	HighPM*         	350.7703974053379 -10.7642437599381	350.7704028062279 -10.7642403782798	347.2814064438603 -06.2391824680533	9.272    	8.695    	7.796    	7.288    	6.834    	K2V            	 125	   0
627 	LP 762-89                          	HighPM*         	349.5035935636399 -10.6439248856200	349.5035989897980 -10.6439213931251	346.1788221089761 -05.6381527062115	     ~   	13.170   	11.946   	11.586   	     ~   	K5V            	   9	   0
628 	BPM 82965                          	HighPM*         	353.9818100695500 -09.4354304893900	353.9818155611369 -09.4354273959888	350.7312487635107 -06.2731167389468	     ~   	12.44    	11.651   	11.280   	     ~   	K6V            	   2	   0
629 	HD 222522                          	**              	355.349277100 -08.629833900        	355.349282656 -08.629830932        	352.299976061 -06.072175470        	     ~   	10.15    	9.56     	9.71     	     ~   	K1V+(G)        	   9	   0
630 	HD 224253                          	**              	359.08892195 -09.49916650          	359.08892740 -09.49916389          	355.36016815 -08.34752119          	     ~   	     ~   	     ~   	     ~   	     ~   	K0V            	  39	   0
631 	HD 689                             	**              	002.809298000 -08.875960300        	002.809303480 -08.875958046        	359.016196493 -09.254843887        	     ~   	11.00    	     ~   	10.10    	     ~   	K1V            	   3	   0
632 	BD-09 40                           	HighPM*         	004.4204391085433 -08.6822616045400	004.4204445982970 -08.6822595103340	000.5730578791559 -09.7183777874054	     ~   	12.45    	10.95    	10.47    	9.37     	K7V            	  44	   0
633 	HD 2595                            	HighPM*         	007.3690865902100 -11.0171568555100	007.3690918208796 -11.0171550576067	002.3231150331319 -13.0271266341221	     ~   	10.16    	9.34     	     ~   	     ~   	K0V            	  18	   0
634 	HD 2881                            	Star            	008.0114564464600 -09.4106526165100	008.0114618419493 -09.4106508838159	003.5793894610720 -11.8124924924558	     ~   	9.83     	8.98     	     ~   	     ~   	K1V            	   3	   0
635 	BD-10 109                          	HighPM*         	009.0000229368829 -09.5155937045853	009.0000283165392 -09.5155920726665	004.4490981528562 -12.3008290134176	     ~   	12.6     	11.198   	10.771   	     ~   	K5V            	  23	   0
636 	HD 7377                            	HighPM*         	018.4373227439900 -08.3159365345300	018.4373282217345 -08.3159358847573	013.7436706704113 -14.9026702374674	     ~   	10.19    	9.12     	     ~   	     ~   	K3V            	  16	   0
637 	BD-10 298B                         	HighPM*         	020.9244316561900 -09.9213441671400	020.9244369562870 -09.9213437802343	015.4461418591794 -17.3384041058782	     ~   	12.56    	11.52    	     ~   	     ~   	K2V            	   8	   0
638 	G 271-165                          	HighPM*         	027.7353470015600 -09.6176299630700	027.7353523342437 -09.6176302982800	022.1097777325577 -19.6214710087438	     ~   	12.50    	11.29    	10.954   	9.554    	K7V            	  11	   0
639 	BPM 70908                          	HighPM*         	031.6971419055100 -07.6672009289800	031.6971474546584 -07.6672016827089	026.7320043957695 -19.2411402726477	     ~   	12.78    	11.478   	11.243   	     ~   	K7V            	   4	   0
640 	BD-08 392                          	HighPM*         	032.3724640470700 -07.7772116855800	032.3724695856954 -07.7772125103446	027.3529373682103 -19.5831373228414	     ~   	12.01    	10.824   	10.483   	     ~   	K5V            	   6	   0
641 	HD 13977                           	Star            	033.9238557796900 -09.0131198844200	033.9238611894718 -09.0131208719223	028.4151074976358 -21.2838117365445	     ~   	10.00    	9.09     	     ~   	     ~   	K0V            	  21	   0
642 	BD-08 535                          	Star            	042.9352147042300 -08.2693231282100	042.9352202269083 -08.2693250429246	037.7636513272064 -23.5841362619432	     ~   	11.08    	9.930    	9.770    	     ~   	K4V            	  20	   0
643 	LP 697-47                          	HighPM*         	317.8688052502000 -05.3094655367000	317.8688113879217 -05.3094599538713	318.6598743398384 +10.4161816955118	     ~   	12.28    	10.98    	10.62    	9.64     	K5V            	  10	   0
644 	BD-05 5522                         	HighPM*         	320.0540963540200 -04.5388758928500	320.0541025075503 -04.5388704057395	321.0073276957024 +10.4858159863498	     ~   	11.59    	10.677   	10.517   	     ~   	K4V            	   2	   0
645 	HD 208819                          	**              	329.7455100 -05.1116406            	329.7455160 -05.1116356            	330.0430602 +06.7694848            	     ~   	9.89     	9.18     	     ~   	     ~   	K0V            	   5	   0
646 	HD 211532                          	HighPM*         	334.4616803206600 -07.5878358911300	334.4616861625178 -07.5878312272177	333.5681941275900 +02.7992214067794	     ~   	10.06    	9.27     	     ~   	     ~   	K0V            	  18	   0
647 	HD 212850                          	Star            	336.8171522269199 -07.2426300767100	336.8171580687191 -07.2426255769403	335.8723838662029 +02.2737515712133	     ~   	10.659   	9.882    	9.47     	9.226    	K0V            	  13	   0
648 	HD 212863                          	HighPM*         	336.8516085912600 -07.1807559361500	336.8516144372018 -07.1807514388385	335.9268854543748 +02.3188213600941	     ~   	10.34    	9.48     	     ~   	     ~   	K1V            	   4	   0
649 	BPM 82282                          	HighPM*         	337.3022008956400 -06.6103521262800	337.3022067788016 -06.6103476612647	336.5528254554564 +02.6854448609673	     ~   	14.0     	12.1     	11.908   	     ~   	K4V            	   5	   0
650 	HD 215152                          	HighPM*         	340.8387617086050 -06.4008202912842	340.8387675770283 -06.4008160891795	339.8950526363459 +01.5737592234932	     ~   	9.12     	8.13     	7.83     	8.46     	K3V            	 102	   1
651 	BPM 82411                          	HighPM*         	341.7354240657700 -06.0933670556100	341.7354299510803 -06.0933629227482	340.8368805780471 +01.5226105516362	     ~   	13.0     	12.235   	11.959   	     ~   	K5V            	   1	   0
652 	HD 219255                          	HighPM*         	348.6546256199900 -08.0786362265200	348.6546312823999 -08.0786326606984	346.4136856165578 -02.9497676090208	     ~   	10.22    	9.35     	     ~   	     ~   	K1V            	   4	   0
653 	BPM 82676                          	HighPM*         	347.9596863974700 -07.8101364992400	347.9596920893787 -07.8101328739774	345.8840190060989 -02.4341318436008	     ~   	13.3     	11.801   	11.470   	     ~   	K4V            	   3	   0
654 	LP 702-28                          	HighPM*         	346.9731859481500 -07.3947137473200	346.9731916842578 -07.3947100385959	345.1439506903561 -01.6714191580807	     ~   	     ~   	12.688   	12.372   	     ~   	K5V            	   4	   0
655 	BD-06 6211                         	HighPM*         	351.5212338177000 -06.1221452411200	351.5212396323576 -06.1221419259385	349.8011330431755 -02.2656671913309	     ~   	11.07    	10.11    	10.119   	     ~   	K4V            	   6	   0
656 	G 273-49                           	HighPM*         	351.7055974967500 -07.3983078353500	351.7056031949519 -07.3983045365790	349.4661186434012 -03.5107227077512	     ~   	12.48    	11.458   	11.313   	     ~   	K4V            	   7	   0
657 	HD 224432                          	HighPM*         	359.4798917900300 -07.0926729360500	359.4798974662215 -07.0926703581987	356.6905682014901 -06.2981676733754	     ~   	10.93    	9.94     	     ~   	     ~   	K1V            	  22	   0
658 	HD 225163                          	HighPM*         	001.0120801531400 -06.9884807649300	001.0120858312863 -06.9884783351855	358.1351650249312 -06.8115235341543	     ~   	10.46    	9.49     	     ~   	     ~   	K1V            	   7	   0
659 	HD 74                              	Star            	001.4148979158300 -07.9035912150800	001.4149035011146 -07.9035888245661	358.1341463905946 -07.8100021918519	     ~   	10.49    	9.59     	     ~   	     ~   	K2V            	   8	   0
660 	HD 1460                            	HighPM*         	004.6784324446400 -07.6283544735300	004.6784380402572 -07.6283524050390	001.2391089187524 -08.8558940349252	     ~   	9.78     	8.88     	     ~   	     ~   	K1V            	   4	   0
661 	G 31-52                            	HighPM*         	006.9580846313637 -06.4860938718133	006.9580903338374 -06.4860920323059	003.7995911175296 -08.7150368620136	     ~   	12.77    	11.55    	11.360   	     ~   	K4V            	  22	   0
662 	HD 2638                            	**              	007.4994674103900 -05.7639989259100	007.4994731849896 -05.7639971412241	004.5899518396762 -08.2676789211197	     ~   	10.33    	9.38     	9.10     	9.19     	K1V            	  79	   1
663 	HD 2333B                           	SB*             	006.782291358 -07.876088169        	006.782296919 -07.876086312        	003.073881704 -09.919060696        	     ~   	9.64     	8.86     	     ~   	     ~   	K0V            	   4	   0
664 	HD 3821B                           	HighPM*         	010.1963401927800 -07.2307404607100	010.1963458068607 -07.2307389513918	006.4891095470484 -10.6806424665946	     ~   	11.28    	9.98     	     ~   	     ~   	K5V            	  13	   0
665 	BD-08 133                          	**              	011.25605495 -07.89539449          	011.25606049 -07.89539309          	007.20138708 -11.70879183          	     ~   	     ~   	     ~   	     ~   	     ~   	K7V            	  12	   0
666 	HD 9703                            	HighPM*         	023.7276711968800 -06.8060705782500	023.7276768326213 -06.8060704884723	019.3623263056041 -15.5252873392595	     ~   	10.60    	9.63     	     ~   	     ~   	K2V            	  10	   0
667 	HD 11997                           	HighPM*         	029.4167878467900 -05.2334297739500	029.4167936531422 -05.2334302870972	025.4311595859235 -16.1554469244102	     ~   	10.18    	9.23     	     ~   	     ~   	K2V            	  18	   0
668 	G 159-30                           	HighPM*         	030.8759609972600 -04.9114544970600	030.8759668392074 -04.9114551642704	026.9648704331867 -16.3756369334215	     ~   	12.38    	11.104   	10.713   	9.28     	K7V            	  23	   0
669 	HD 14635                           	HighPM*         	035.4350722562800 -06.8795310964700	035.4350778971734 -06.8795322418006	030.7087802372359 -19.8074859815151	     ~   	10.14    	9.05     	9.436    	     ~   	K4-V           	  55	   0
670 	HD 202685                          	HighPM*         	319.3940219160500 -03.9401045547400	319.3940281014236 -03.9400990378696	320.5582542306396 +11.2587010993588	     ~   	9.76     	8.81     	     ~   	     ~   	K0V            	   5	   0
671 	BD-03 5242                         	**              	323.38109907 -02.50598359          	323.38110530 -02.50597826          	324.87200586 +11.35733776          	     ~   	     ~   	10.583   	10.230   	9.03     	K7V            	  11	   0
672 	HD 208316                          	Star            	328.9001155361100 -04.2242695397600	328.9001216440556 -04.2242645200329	329.5542678730433 +07.8930289813011	     ~   	10.05    	8.78     	     ~   	     ~   	K0V            	   3	   0
